Title,URL,Source,Category
Incentivization of Electric Vehicles – Permit Relaxation,https://morth.nic.in/sites/default/files/circulars_document/Incentivisation_of_Electric.pdf,MoRTH,Electric Vehicle Policy/Standards
AIS 138 Part 2 – DC EV Charging Standards,https://morth.nic.in/sites/default/files/ASI/320201825106PMAIS_138_Part_2_F.pdf,MoRTH,Electric Vehicle Policy/Standards
AIS 138 Part 1 – AC EV Charging Standards,https://morth.nic.in/sites/default/files/Finalized_Draft_AIS_138_Part_1_October_2016_for_Electric.pdf,MoRTH,Electric Vehicle Policy/Standards
AIS 174 – Electric Construction Equipment Vehicle Standards,https://morth.nic.in/sites/default/files/ASI/5-AIS%20174_Electric_CEV-Specific%20Requirements.pdf,MoRTH,Electric Vehicle Policy/Standards
AIS 102 Part 2 – Hybrid Electric Vehicle Type Approval,https://morth.nic.in/sites/default/files/ASI/PUB_4_9_2010_2_14_36_PM_AIS-102%28Part2%29F.pdf,MoRTH,Electric Vehicle Policy/Standards
Wayside Amenities – Guidelines including EV Charging Infrastructure,https://morth.nic.in/sites/default/files/circulars_document/Policy%20Guidelines%20for%20Development%20of%20Wayside%20Amenities%20along%20NHs%20and%20Expressways%20%281%29.pdf,MoRTH,Electric Vehicle Policy/Standards
