Name,Rating,Reviews,Type,Address,Link,Latitude,Longitude,Distance_meters
Kazam Charging Station,,,Electric vehicle charging station,"Royal Palms Estate, Aarey Milk Colony, Goregaon, Mumbai, Maharashtra 400065, India",,19.1527583,72.8837417,1560.27
Bombay Power Co Charging Station,,,Electric vehicle charging station,"Velentine Apartments, General Arun Kumar Vaidya Marg, Malad, Pimpripada, Malad East, Mumbai, Maharashtra 400097, India",,19.177508,72.8733563,1887.62
Woocharging,,,Electric vehicle charging station,"201 Ivy, Film City Rd, Malad East, Mumbai, Maharashtra 400063, India",,19.1673307,72.8767647,1078.71
