Name,Rating,Reviews,Type,Address,Link,Latitude,Longitude,Distance_meters,data_id,place_id
Shaheed Narendra Kumar Filling Station,3.9,351,Gas station,"Neemrana, Alwar, NH-8, Neemrana Road, Behror, Behror, Rajasthan 301020, India",,27.965709699999998,76.380394,39.29,0x396d54966e00e507:0x9461eb3b6582f49,ChIJB-UAbpZUbTkRSS9YtrMeRgk
IndianOil,,,Gas station,"Ground Floor, Near Japani Zone, Behror, Neemrana, Rajasthan 301705, India",,27.965335999999997,76.3785683,170.89,0x396d55f047baa6c1:0xc2a37a7d5ff22e25,ChIJwaa6R_BVbTkRJS7yX316o8I
Petrol Pump,4.1,58,Gas station,"X98J+96P, NH 48, Neemrana, Majrakath, Rajasthan 301020, India",,27.9659554,76.3805886,43.71,0x396d5496730792ff:0xc3efd0c53af1ae2d,ChIJ_5IHc5ZUbTkRLa7xOsXQ78M
Shree Shyam Canteen,3,1,Coffee shop,"Shop No.2, Delhi - Jaipur Expy, near Shaheed Narendra Filling Station, Neemrana, Majrakath, Rajasthan 303108, India",,27.9657344,76.3804601,41.74,0x396d5517f5077693:0x5580f5b41c78af28,ChIJk3YH9RdVbTkRKK94HLT1gFU
"R.S.Filling Station, Bharat Petroleum",4,712,Gas station,"Kunda, Amer, Jaipur, Rajasthan 303101, India",,26.9992791,75.87613879999999,264.53,0x396db03e2dbf270b:0x1ca57d76c3abc376,ChIJCye_LT6wbTkRdsOrw3Z9pRw
Jaipur Golden Transport CO. (P) Indian Oil Petrol Pump,4,109,Gas station,"2V5H+V45, Delhi - Jaipur Road, NH11C, Amer, Jaipur, Rajasthan 302028, India",,27.009635199999998,75.8778476,905.98,0x396db018697c4c65:0x16f944ef2d3ebcbd,ChIJZUx8aRiwbTkRvbw-Le9E-RY
Highway service station Hindustan Petroleum,4,98,Gas station,"Amer, Jaipur, NH-11C, Delhi Road, Jaipur, Jaipur, Rajasthan 302002, India",,27.0015955,75.8761184,13.2,0x396db03e0639673d:0x4dcb4f5ce8b63e16,ChIJPWc5Bj6wbTkRFj626FxPy00
